,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
5715,0MTt7fQE0grApu0jYePdqy,The Monkey Song,2.0,"['The Royal Victoria Hotel Calypsos', 'Blind Blake']",1930-01-01,0.757,0.9179999999999999,-1.047,1.0,0.107,0.759,0.9540000000000001,120.96799999999999
28709,5ZRcMUNtkPJINR4lMPK10e,Hoy Hoy,23.0,['The Collins Kids'],1955,0.835,0.951,-4.757,1.0,0.146,0.515,0.9520000000000001,124.226
33471,5vnfXSICPpH4c5KuUCkdwG,Hey Little Girl,18.0,['Thurston Harris'],1959-03-10,0.742,0.927,0.722,1.0,0.055999999999999994,0.6970000000000001,0.963,98.914
33822,7cceh0YGz9cbRPZ3haIgLZ,Next Door to an Angel,31.0,['Neil Sedaka'],1960-12-30,0.763,0.9309999999999999,-4.163,0.0,0.0576,0.723,0.9620000000000001,123.773
49964,0IHpdWuBRfCMgQxEF2EnDF,Come To Poppa,45.0,['Bob Seger'],1976-10-22,0.8059999999999999,0.9009999999999999,-4.975,1.0,0.0268,0.13699999999999998,0.966,108.417
51496,5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,75.0,['Bob Seger'],1978-05-05,0.7140000000000001,0.937,-2.947,1.0,0.0399,0.20600000000000002,0.9640000000000001,124.13
51945,53rN8CcgrWP6DZcuQ4Q4og,Needles and Pins - 2018 Remaster,45.0,['Ramones'],1978,0.732,0.935,-2.928,1.0,0.031,0.0145,0.961,119.21799999999999
52097,6H5kAXWqGjd9fbkuuuRvX9,東京ラッシュ (2019 Remastering),42.0,"['Haruomi Hosono', 'イエロー・マジック・バンド']",1978,0.759,0.9159999999999999,-3.6660000000000004,1.0,0.0325,0.0907,0.961,107.765
54612,2j8bXaOBeEeyoY4ZpCcFIW,You Drive Me Crazy,56.0,"[""Shakin' Stevens""]",1981-09-07,0.754,0.927,-2.597,1.0,0.0313,0.17300000000000001,0.975,119.494
55563,3JznYTYT2UXwYqhYCqvTSL,Maquillaje,61.0,['Mecano'],1982,0.71,0.9229999999999999,-4.986000000000001,0.0,0.0865,0.581,0.938,118.43799999999999
56325,0d3MNrePFGENAawn9UuMOo,A Little Love - Radio Edit,39.0,['Aurra'],1982-01-01,0.723,0.948,-4.783,1.0,0.0579,0.049,0.961,117.54899999999999
56383,78gWMNi0b8lgSgVe0U0AMX,House of Fun - 2000 Remastered Version,39.0,['Madness'],1982-04-23,0.725,0.934,-4.684,0.0,0.0288,0.465,0.985,127.39
56560,7fRvtXvJMpGfTLdF0M09a1,Talking In Your Sleep,62.0,['The Romantics'],1983-02-14,0.72,0.9670000000000001,-4.434,0.0,0.0343,0.0289,0.977,129.766
57435,3n5wWhXZKyowsRQ4QiSCVD,Eclipse Oculto - Remixed Original Album,39.0,['Caetano Veloso'],1983-01-01,0.748,0.9059999999999999,-2.48,1.0,0.0672,0.196,0.982,142.138
57900,31QuJZfFiMk1uOawow8ejS,Nobody Told Me - Remastered 2010,49.0,['John Lennon'],1984-01-27,0.7120000000000001,0.9359999999999999,-4.246,1.0,0.0364,0.177,0.917,118.425
58718,5jybzs7gQGS2XdiAoHh3Fx,T'immagini,53.0,['Vasco Rossi'],1985,0.799,0.9179999999999999,-4.406000000000001,1.0,0.0288,0.258,0.9359999999999999,134.02100000000002
59528,4XX1pFUkQOZTYp6Hb6a6Ae,Venus,67.0,['Bananarama'],1986-01-01,0.722,0.961,-4.812,1.0,0.0514,0.0883,0.91,126.113
60226,6i5YS44UNyJul0l9M0zqqu,Papaya Coconut,42.0,['Kikki Danielsson'],1986,0.741,0.9129999999999999,-3.92,1.0,0.0271,0.213,0.968,120.041
60303,4ntgZejDFU8Bw2uRD09n7b,Big Time - Remastered,41.0,['Peter Gabriel'],1986-05-19,0.7290000000000001,0.9470000000000001,-2.742,1.0,0.0556,0.306,0.96,116.262
60514,43oPpqzWPSZmeiwYicmzjG,Cherry Bomb,63.0,['John Mellencamp'],1987,0.7440000000000001,0.945,-3.266,1.0,0.0286,0.0509,0.961,113.882
63615,7qWfrXUmYD2UG82tI0pfKm,Piel de Azúcar,56.0,['José José'],1990-11-07,0.763,0.903,-4.939,1.0,0.0312,0.649,0.9740000000000001,133.03799999999998
63650,1CwyfupBufLXfYdPr8LhDF,Demasiada Presión - Remasterizado 2008,55.0,['Los Fabulosos Cadillacs'],1990-06-18,0.755,0.922,-4.83,0.0,0.0696,0.136,0.904,107.853
64567,3IDsegNBHC4pjGCOMTQYlU,"Baby, Baby",61.0,['Amy Grant'],1991,0.7020000000000001,0.9009999999999999,-4.45,1.0,0.0264,0.426,0.919,97.86200000000001
68074,6gKUjDwD5aRouvTZH7vonO,Solo Se Vive una Vez,51.0,['Monica Naranjo'],1994,0.701,0.997,-1.955,0.0,0.0641,0.0193,0.93,131.889
69782,5PTWlk21hqWnFu841NOp7k,I Give You My Heart,55.0,['Mr. President'],1996-05-17,0.7440000000000001,0.9329999999999999,-4.875,1.0,0.0329,0.0027,0.9109999999999999,145.977
69834,2NFKSwzaNKXAqBqlXgeTEo,LA・LA・LA LOVE SONG,54.0,"['Toshinobu Kubota', 'Naomi Campbell']",1996-12-02,0.754,0.9079999999999999,-4.555,0.0,0.0363,0.125,0.95,117.90700000000001
69953,6K5UtSAXChS6Rpm2NZJnrF,Juliana,52.0,['DLG'],1996,0.7140000000000001,0.9570000000000001,-3.616,1.0,0.0409,0.331,0.965,94.06200000000001
69963,2QLEN3RVunMas7j0PHjeAT,C'mon N' Ride It (The Train),52.0,"[""Quad City DJ's""]",1996-06-18,0.843,0.9590000000000001,-4.933,0.0,0.0914,0.0913,0.9229999999999999,135.988
70108,2ttUbhePgGQQKAe5vxQVG4,Tranqi Funky,50.0,['Articolo 31'],1996-05-14,0.85,0.9420000000000001,-4.738,0.0,0.0784,0.266,0.902,107.818
70291,42huCGPeBRGBRMmc72ZWsE,Linda Eh,48.0,['Grupo Mania'],1996,0.816,0.915,-3.0660000000000003,1.0,0.0434,0.29600000000000004,0.963,125.205
70381,0K25zmumCzn2kFmh9zcLWy,CANDY,47.0,['H.O.T.'],1996-09-07,0.741,0.977,-2.318,1.0,0.044000000000000004,0.134,0.951,119.988
70647,221LRlPHPuevgE1tuUlof9,I Want You Back - Radio Edit,60.0,['*NSYNC'],1997,0.7509999999999999,0.9390000000000001,-3.305,0.0,0.0466,0.0521,0.905,112.041
71444,2Ld2LehpgQNREMxl9LlIzm,"Boom, Boom, Boom, Boom!!",76.0,['Vengaboys'],1998,0.8109999999999999,0.935,-4.595,0.0,0.0407,0.0134,0.968,138.47899999999998
71486,77j9HOrxUpWcjwra9jgvio,We like to Party! (The Vengabus) Six Flags,69.0,['Vengaboys'],1998,0.785,0.9309999999999999,-4.813,1.0,0.0465,0.0148,0.9690000000000001,135.986
71582,3oWZwdnnwsCwMukQbPsEiy,"5, 6, 7, 8",63.0,['Steps'],1998-09-14,0.71,0.9940000000000001,-4.899,1.0,0.0362,0.00715,0.938,140.04
71610,2X7jfQnEMQYYmvkhr6mzS9,Brother Louie Mix '98 (feat. Eric Singleton) - Radio Edit,62.0,"['Modern Talking', 'Eric Singleton']",1998-05-11,0.769,0.971,-3.78,0.0,0.0432,0.0173,0.9690000000000001,118.135
71683,1bNYIF1HZlWJe8ZKmTIFfT,"You're My Heart, You're My Soul '98",59.0,['Modern Talking'],1998,0.752,0.938,-4.08,0.0,0.0381,0.00455,0.9670000000000001,119.322
71754,2es7AohVgF03LwjmQyaVMl,Torero,58.0,['Chayanne'],1998,0.701,0.966,-3.502,0.0,0.045,0.0723,0.961,136.026
72010,0SHmApKzT0EWhbFKBjsOex,C'est la Vie,53.0,['B*Witched'],1998-10-08,0.701,0.937,-4.845,1.0,0.0299,0.10099999999999999,0.9229999999999999,108.993
72487,42nSaPdT6g3ZIMHmKLlP2p,Let's Get Loud,70.0,['Jennifer Lopez'],1999-06-01,0.82,0.937,-4.81,0.0,0.0551,0.135,0.9059999999999999,130.993
72505,6kQz6t5z1FK4uohPh8Kd73,Let's Get Loud,68.0,['Jennifer Lopez'],1999-04-20,0.82,0.937,-4.81,0.0,0.0542,0.139,0.922,131.006
72583,1DSJNBNhGZCigg9ll5VeZv,(You Drive Me) Crazy,64.0,['Britney Spears'],1999-01-12,0.748,0.9390000000000001,-4.288,0.0,0.0341,0.0534,0.96,104.001
73200,3IrKj55aqL8t8YLK2irf1k,This Is How We Do It,51.0,['Solid Base'],1999-01-01,0.785,0.99,-3.5269999999999997,1.0,0.0317,0.00313,0.97,137.999
73350,325FgLfQLrjhAeLCBVNvLt,Jackie - Radio Edit,50.0,"['BZ', 'Joanne']",1999,0.852,0.9940000000000001,-4.059,0.0,0.0973,0.0205,0.9329999999999999,137.112
74550,02jcEwywffn3Tsb48fXmlW,Get the Party Started,70.0,['P!nk'],2001,0.802,0.904,-3.267,0.0,0.0459,0.00108,0.961,128.931
75521,5fSDXbY8o9pA3TKwAbfwML,Mi primer millon,70.0,['Bacilos'],2002-06-25,0.745,0.924,-3.898,1.0,0.0355,0.201,0.909,103.03299999999999
76377,0NWWDumjD2TCrR6iV6ZFgR,Fuck the Pain Away,56.0,['Peaches'],2002-10-08,0.904,0.9440000000000001,-2.6260000000000003,1.0,0.138,0.0339,0.9309999999999999,131.599
76408,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,80.0,['Outkast'],2003,0.727,0.9740000000000001,-2.261,0.0,0.0664,0.10300000000000001,0.965,79.52600000000001
76577,3AszgPDZd9q0DpDFt4HFBy,Hey Ya!,66.0,['Outkast'],2003,0.715,0.97,-2.206,1.0,0.0648,0.0644,0.963,79.50399999999999
76936,6wdviVWctiZnY6tVn6bh6A,Black or White - Single Version,60.0,['Michael Jackson'],2003-11-18,0.759,0.927,-2.7680000000000002,1.0,0.051,0.11,0.96,115.075
77006,4i5NFoPWqTqlsR4WyoVFtB,Una Ráfaga de Amor,59.0,['Rafaga'],2003,0.773,0.9179999999999999,-3.443,0.0,0.0461,0.23600000000000002,0.9209999999999999,99.96600000000001
77121,53ibNhfoPYBPRY8TUmKHSj,J'en ai marre !,58.0,['Alizée'],2003-03-18,0.768,0.917,-4.039,1.0,0.0377,0.442,0.977,124.844
77446,0eqH0ALoDQevq59YcQ53KE,Hollaback Girl,72.0,['Gwen Stefani'],2004-11-22,0.9259999999999999,0.9159999999999999,-2.221,0.0,0.0929,0.35,0.904,110.007
77466,0LzrhCZFXW94Y8nwtTuRlw,Hollaback Girl,71.0,['Gwen Stefani'],2004-11-23,0.9259999999999999,0.9159999999999999,-2.221,0.0,0.0929,0.35,0.904,110.007
77551,3GVbCoTo8ojHFv2JCHJ6Sc,Young Bloods,16.0,['Motoharu Sano'],1980,0.7120000000000001,0.963,-4.891,1.0,0.0477,0.0734,0.914,139.649
77599,7gVGHGrf8KUE59qruRDBYe,Udoon Udoon Kardi Jawani,14.0,['Surjit Bindrakhia'],2003-12-27,0.735,0.976,-4.648,1.0,0.0634,0.313,0.961,168.44400000000002
77635,3fsqNZvDSTWzJGgNJaE3HB,NIGHT LIFE,12.0,['Motoharu Sano'],1980,0.848,0.915,-2.399,1.0,0.0526,0.48200000000000004,0.963,123.09299999999999
77690,3XZxjUKQOYWT7Oj5fthXVb,Sugartime,10.0,['Motoharu Sano'],1980,0.845,0.927,-2.7560000000000002,0.0,0.0317,0.0787,0.9540000000000001,127.59
78196,0K1XXuhaJBPWMcgjj3ug3u,Las Avispas,58.0,['Juan Luis Guerra 4.40'],2004-01-01,0.8140000000000001,0.9440000000000001,-2.758,0.0,0.0532,0.544,0.961,130.082
78314,6hy7ONYlFybtQ1bX6eoXlt,Take Your Mama,57.0,['Scissor Sisters'],2004-02-02,0.762,0.9570000000000001,-4.601,1.0,0.11,0.222,0.9059999999999999,153.967
78634,5LH1z4ma2TN2aVeESXthj9,Ding,65.0,['Seeed'],2005-10-14,0.8029999999999999,0.9059999999999999,-3.522,1.0,0.0421,0.039,0.9470000000000001,116.993
78906,73mlvsfJM2qwlDUJxeaatI,Daft Punk Is Playing at My House,61.0,['LCD Soundsystem'],2005-01-24,0.92,0.914,-4.555,1.0,0.0444,0.0222,0.9740000000000001,135.923
78954,42rMA2pfIu7J6a80nODfAn,Além do Horizonte,60.0,['Jota Quest'],2005-09-16,0.7140000000000001,0.9570000000000001,-3.556,0.0,0.0367,0.0023899999999999998,0.968,140.004
79190,6o3SmNunEppw9A3pF6BtJ1,Hula Hula,2.0,['2005 ทิวา Hula Hula'],2005-11-29,0.728,0.9109999999999999,-1.036,1.0,0.0457,0.23800000000000002,0.9640000000000001,153.011
81506,0nnxf8p851ZR49KFnGWVsB,Say Hey (I Love You),66.0,"['Michael Franti & Spearhead', 'Cherine Tanya Anderson']",2008-01-01,0.738,0.983,-4.374,0.0,0.0855,0.038,0.9570000000000001,92.99799999999999
81855,3RuXekS5criwismaaj87iF,A Night to Remember - Original Version,61.0,['High School Musical Cast'],2008-01-01,0.7979999999999999,0.904,-3.3160000000000003,0.0,0.0476,0.0747,0.966,135.00799999999998
82015,59qPP8coY8EWIQ9nQDThui,Give It 2 Me,59.0,['Madonna'],2008-04-19,0.8370000000000001,0.9540000000000001,-3.512,0.0,0.0414,0.0933,0.972,127.01899999999999
82059,45dWn7gzWdxNO15dPzWRSV,Yo Te Diré,58.0,['Miranda!'],2008-04-01,0.917,0.98,-4.087,0.0,0.0382,0.00472,0.94,127.01700000000001
82561,0fB12ejHeL72P2B4bAeit2,A Thousand Years - 2009 Main Dub Mix,0.0,"['Julius Papp', 'Gina Gee']",2009-07-27,0.7190000000000001,0.9670000000000001,-4.688,0.0,0.0443,0.0006929999999999999,0.961,123.99799999999999
82565,3poaBqobQa5xWvAcxQQ8Km,A Thousand Years - 2009 Deeper Vocal Mix,0.0,"['Julius Papp', 'Gina Gee']",2009-07-27,0.762,0.9179999999999999,-4.0489999999999995,1.0,0.0528,7.82e-05,0.966,123.995
82569,36Kec3Cyb0RSYHKMI2jYh5,A Thousand Years - 2009 Deeper Vocal Mix,0.0,"['Julius Papp', 'Gina Gee']",2009-07-13,0.762,0.9179999999999999,-4.0489999999999995,1.0,0.0528,7.82e-05,0.966,123.995
82642,5w18nowVMRZrC5Na9Vxoth,"쏘리 쏘리 Sorry, Sorry",62.0,['SUPER JUNIOR'],2009-03-11,0.706,0.972,-2.359,0.0,0.0352,0.0226,0.9620000000000001,129.946
82724,0S4dVpqBLnBFj4wdB4UDMd,Partenaire Particulier,61.0,['Partenaire Particulier'],2009-03-06,0.736,0.927,-3.487,0.0,0.0541,0.6779999999999999,0.971,156.046
82798,6wWLC6V7TJ7NEygWHc1CFh,Yo me Enamoré,61.0,['Amar Azul'],2009-11-13,0.816,0.9079999999999999,-2.324,0.0,0.24100000000000002,0.17800000000000002,0.9279999999999999,94.985
82821,6mmtxbG5pzkrJ0BrSdg9uW,Morning After Dark (Featuring Nelly Furtado & SoShy),60.0,"['Timbaland', 'Nelly Furtado', 'Soshy']",2009-01-01,0.7340000000000001,0.927,-4.244,0.0,0.042,0.076,0.9009999999999999,118.039
83226,6XE2V2icEranw5YpS4WMDD,La Despedida,72.0,['Daddy Yankee'],2010-04-27,0.746,0.993,-2.134,0.0,0.0499,0.0866,0.972,122.046
83266,5lsSjUGKgPXAoIksVFgp1U,Indépendance cha cha,15.0,"[""Grand Kalle Et l'African Jazz""]",2001,0.84,0.9159999999999999,-2.166,1.0,0.0322,0.8190000000000001,0.9690000000000001,115.40100000000001
83672,2iRfjwzPsooCskZrrlsgcC,Centerfield,62.0,['John Fogerty'],2010-06-29,0.777,0.948,-3.648,1.0,0.0479,0.127,0.973,142.359
83999,0fAsY7Axec04ICLo8jSu0b,Carnival On My Mind,3.0,['Edwin Yearwood'],2010-05-21,0.7829999999999999,0.9620000000000001,-1.8940000000000001,1.0,0.046,0.133,0.9179999999999999,114.993
84480,6HxweNytuEQdmGeVtZPZz3,The Seed (2.0),65.0,"['The Roots', 'Cody Chesnutt']",2011-09-16,0.758,0.9570000000000001,-2.281,1.0,0.0357,0.039,0.966,111.12100000000001
84982,38yZc9sckpe9elroXhas3e,Zulu Music 2011 (I-Cue Sedgwick And Cedar Refix) [feat. Tc Izlam],0.0,"['Soul Slinger', 'Hillberg', 'TC Izlam']",2011-06-06,0.762,0.919,-4.755,1.0,0.0957,0.34,0.953,83.01799999999999
85062,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,82.0,['Calvin Harris'],2012-10-29,0.7070000000000001,0.924,-2.842,1.0,0.031,0.0009720000000000001,0.919,127.93700000000001
85298,5quSAQLkFouHnkz9n06xxx,Good Time,8.0,['Edwin Yearwood'],2012-05-21,0.711,0.9390000000000001,-4.27,1.0,0.0419,0.0649,0.9359999999999999,121.006
85570,6oyl7ELfrMqXLhGmIjXY9R,Lovumba,65.0,['Daddy Yankee'],2012-01-01,0.7340000000000001,0.9329999999999999,-4.638999999999999,0.0,0.0578,0.0375,0.935,120.98700000000001
85667,3Tu7uWBecS6GsLsL8UONKn,Don't Stop the Party (feat. TJR),64.0,"['Pitbull', 'TJR']",2012,0.722,0.958,-3.617,1.0,0.0912,0.007259999999999999,0.9520000000000001,127.008
85915,1oInQX1RuH1TcHuDv8Gvw3,Las Avispas,61.0,['Juan Luis Guerra 4.40'],2012-02-24,0.8109999999999999,0.941,-3.068,0.0,0.0516,0.5489999999999999,0.961,130.083
86792,18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,63.0,"['Pritam', 'Vishal Dadlani', 'Shalmali Kholgade']",2013-03-30,0.732,0.9440000000000001,-4.115,1.0,0.09,0.209,0.9570000000000001,120.02
86808,1vELwZM3uBYWd8HrtddD4l,Bella,63.0,['GIMS'],2013-12-02,0.7809999999999999,0.9440000000000001,-2.64,0.0,0.0615,0.0873,0.965,103.00299999999999
87323,2istPQn1Pkg1Zn2qSV1GDA,A Thousand Years - Remix,8.0,['Circle Court'],2014-10-09,0.778,0.9590000000000001,-4.29,0.0,0.1,0.000334,0.9620000000000001,140.02700000000002
87464,2n3CaPGPLYnYAvTEwKCX8t,Mmm Yeah (feat. Pitbull),67.0,"['Austin Mahone', 'Pitbull']",2014,0.7120000000000001,0.922,-3.9019999999999997,0.0,0.0411,0.00266,0.976,125.984
87808,4jzUIyAeosr1rNU9vlBDOv,Doctor Marihuana,64.0,"['Cartel De Santa', 'Big Man']",2014-08-05,0.81,0.9309999999999999,-3.596,1.0,0.0359,0.106,0.963,133.209
88386,00i0O74dXdaKKdCrqHnfXm,La Mordidita (feat. Yotuel),70.0,"['Ricky Martin', 'Yotuel']",2015-02-10,0.725,0.903,-2.955,1.0,0.0658,0.0344,0.946,142.006
89599,5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,68.0,['Red Velvet'],2016-09-07,0.726,0.903,-2.2769999999999997,0.0,0.0357,0.055,0.958,129.986
90348,0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta,74.0,"['Carlos Vives', 'Shakira']",2017-11-10,0.745,0.9440000000000001,-3.9589999999999996,1.0,0.134,0.21,0.951,179.99099999999999
91076,1QoCMhH72F9MFDspvkfqId,Hey Ya!,29.0,['Outkast'],2018-12-07,0.727,0.9740000000000001,-2.261,0.0,0.0664,0.10300000000000001,0.965,79.52600000000001
92021,5GvmBmERbwDMmbjMrjsxKu,Tema Two,28.0,['DJ Fleg'],2019-10-25,0.794,0.919,-4.828,0.0,0.0521,0.012,0.924,115.618
92496,2zAi85TQB7mLzl8P1ySAj9,Lost Umbrella,75.0,['稲葉曇'],2019-11-17,0.721,0.9179999999999999,-3.347,1.0,0.0678,0.0408,0.965,137.03
92561,0U6bQIAh6MCGo1xjbIIx2S,Instagram,74.0,"['Dimitri Vegas & Like Mike', 'David Guetta', 'Daddy Yankee', 'Afro Bros', 'Natti Natasha', 'Dimitri Vegas', 'Like Mike']",2019-07-05,0.765,0.9059999999999999,-2.097,0.0,0.0965,0.125,0.95,96.071
93664,1UF3sCkxXH4OE7ja83GRzj,Espetinho - Ao Vivo,77.0,['Gusttavo Lima'],2020-11-19,0.8270000000000001,0.9259999999999999,-1.633,1.0,0.0346,0.23,0.9490000000000001,135.97
93947,56F3ngwk3a42aLY0o5QgBF,Fala Comigo - Ao Vivo,81.0,['Gusttavo Lima'],2021-02-04,0.818,0.919,-3.013,1.0,0.0694,0.28300000000000003,0.9490000000000001,160.002
104043,3a5pQvGk6j9prnfJOXC3iT,Big Time,37.0,['Peter Gabriel'],1986-05-19,0.7290000000000001,0.9470000000000001,-2.742,1.0,0.0556,0.306,0.96,116.262
104326,3YkgiRmt9aNzfxXgcij7eY,Song Groove (a.k.a. Abortion Papers),40.0,['Michael Jackson'],1987-08-31,0.922,0.922,-3.464,1.0,0.0488,0.266,0.963,133.208
104574,17xlbrXOxwhrxlJK7HX7Ot,Got to Be Certain,38.0,['Kylie Minogue'],1988-07-04,0.746,0.985,-4.718999999999999,0.0,0.051,0.0588,0.938,117.46
105659,2qihqCQnAgBi95hTXivjd9,I Can’t Stand It (Radio Edit),35.0,"['Twenty 4 Seven', 'Capt. Hollywood']",1990-07-10,0.701,0.965,-4.651,1.0,0.0468,0.0018899999999999998,0.961,122.774
107692,0qS7ADaQm2sN6eA2qbft1D,Bang Johanna,13.0,['Leon Schuster'],1995-09-01,0.746,0.9129999999999999,-4.323,1.0,0.10400000000000001,0.406,0.93,97.024
107897,7roNDDmU52OYgYwCN9SI8E,D.S.,45.0,['Michael Jackson'],1995-06-16,0.889,0.914,-4.308,1.0,0.0637,0.218,0.972,109.464
108615,19c0gzV4Vkk6RHDysHsVut,Wentombi' Uyangigangela,13.0,"[""Mfaz' Omnyama""]",1997-05-09,0.754,0.922,-4.957,1.0,0.033,0.0553,0.9209999999999999,123.87100000000001
109237,5dncURyoRN89syo3bUtS7h,We're Going to Ibiza - Hitclub Airplay RMX,48.0,['Vengaboys'],1998,0.805,0.981,-3.6719999999999997,1.0,0.0406,0.063,0.981,129.997
109314,2vbJUtO8SZ0nZn5qwRAo3v,Cheri Cheri Lady - New Version,43.0,['Modern Talking'],1998,0.753,0.958,-4.504,0.0,0.0409,0.225,0.95,118.046
110158,1qnBBwqLmnsVSWyWROUPyd,I Don't Feel Like Dancin' - Radio Edit,5.0,['Scissor Sisters'],2020-10-23,0.71,0.924,-3.415,1.0,0.0282,0.0154,0.915,108.035
110814,11hW1pk42xj0koCUJf9Xnj,Blood Hound,50.0,"['50 Cent', 'Young Buck']",2003-02-06,0.799,0.904,-2.226,1.0,0.228,0.0127,0.929,167.845
110873,75lZOZjQaA66br3Vu1iYCw,Take Your Mama,57.0,['Scissor Sisters'],2004,0.758,0.9540000000000001,-4.573,1.0,0.10800000000000001,0.196,0.924,153.97299999999998
111066,4DLH2fr8pWX1iksMrk47Kw,Big Pimpin' / Papercut,55.0,"['JAY-Z', 'Linkin Park']",2004-11-30,0.765,0.938,-2.718,1.0,0.0481,0.196,0.965,138.312
111116,37E0vbbAOX0Y0vsnMOOKtA,Getoor,35.0,['Fredi Nest'],2005-03-06,0.8140000000000001,0.935,-2.6689999999999996,1.0,0.028999999999999998,0.0103,0.988,125.95700000000001
111139,4asL6uEeRCHN66dBTyMZlR,Sê My,29.0,['Fredi Nest'],2005-03-06,0.836,0.991,-1.643,1.0,0.0404,0.153,0.958,130.04
111368,1qEHgdFqUxFebMPk8s2HLY,I Don't Feel Like Dancin' - Radio Edit,69.0,['Scissor Sisters'],2006-01-01,0.711,0.924,-3.398,1.0,0.0282,0.0156,0.912,108.03299999999999
111435,7gWKZrsbfYvb5gSzHVoZ5z,Afterhours - Ibadan/Shere Dub,2.0,['Restless Soul'],1996,0.78,0.927,-4.439,0.0,0.0327,0.0408,0.965,124.00299999999999
111709,1i1OuCNhNf7JwrlWlFZFu1,That's Not My Name,57.0,['The Ting Tings'],2007,0.755,0.9009999999999999,-3.1519999999999997,1.0,0.0893,0.0451,0.9590000000000001,145.042
111932,1Usa9hOXDsWKC7WTMlaQW9,Shintsh' Umshovo,23.0,['Amageza Amahle'],2008-03-10,0.792,0.9440000000000001,-4.476,1.0,0.0364,0.00805,0.975,116.979
112271,4Xqec5nATHVa8bsHngCMKE,Sgelekeqe - Mindlo Mix,22.0,['Mandoza'],2009-01-01,0.877,0.934,-4.859,0.0,0.0538,0.151,0.9279999999999999,108.01799999999999
112729,4Me1aOz3tHGW6E2FO9cWKI,"Boom, Boom (Let's Go Back To My Room)",3.0,['Paul Lekakis'],2010-12-21,0.773,0.9590000000000001,-4.645,0.0,0.0329,0.16,0.9790000000000001,130.014
112811,3yLliVuAdxCnXwqSJgF3TX,Nwa Baby - Ashawo Remix,50.0,['Flavour'],2011-06-22,0.765,0.9690000000000001,-0.595,1.0,0.0639,0.134,0.961,100.61399999999999
112916,1H4kocyUNCJLLanFSbGuSr,Hou My Stywer Vas,35.0,['Snotkop'],2012-04-10,0.738,0.9640000000000001,-3.76,1.0,0.0626,0.0823,0.972,124.04799999999999
113372,69o3bpjjvZ73giNWJwpsbx,Dead End - Original Mix,1.0,['Plastic Shell'],2013-03-23,0.794,0.9520000000000001,-2.9930000000000003,1.0,0.0467,9.719999999999999e-05,0.961,130.006
113548,5iV9XFR4z40DnZRDRMHlrv,Hiekies In Hartenbos,34.0,['Snotkop'],2014-07-18,0.787,0.95,-4.912,1.0,0.0914,0.308,0.9740000000000001,132.023
114456,3k7HKYHR1xQJx4wSbgQM40,Регги - 2016,3.0,['ФАКТОРЫ'],2019-11-08,0.743,0.932,-4.688,1.0,0.0326,0.00571,0.95,91.991
114581,0jGDOQVk0m1N4Tf5py8RAG,Ramsingh - Official N.M.G Roadmix,6.0,"['Omardath Maharaj', 'Raymond Ramnarine']",2017-03-03,0.89,0.904,-3.654,1.0,0.201,0.0411,0.92,135.08700000000002
115597,1erDKCPHK4iLW1YkBVuQFE,"10,000 Hours (Remix)",8.0,['Workout Music '],2019-12-26,0.705,0.987,-3.0860000000000003,0.0,0.0486,0.00278,0.9670000000000001,128.001
117849,0ATzislS5SvAp69hjHczej,Solo Se Vive una Vez,57.0,['Azucar Moreno'],1996-05-06,0.743,0.971,-4.83,1.0,0.0533,0.046,0.978,101.99799999999999
118484,1jU62R5fjzKbgsHtsZ2JO7,Imaginaste,48.0,['Ozuna'],2021-03-29,0.73,0.9329999999999999,-4.284,0.0,0.0402,0.22699999999999998,0.946,92.01700000000001
119117,18lq8FwQ94jlSk95PTM7Mr,Around The World,55.0,['Aqua'],2000-01-01,0.705,0.976,-4.261,1.0,0.0309,0.00213,0.9670000000000001,129.952
119147,0SF8c9ir3zMxiypHXuvgYd,Here We Kum,57.0,['Molotov'],2003-01-01,0.804,0.9109999999999999,-2.8810000000000002,1.0,0.0492,0.0632,0.9640000000000001,119.944
119248,2SSFvQBwsxeazzo7z5l9gD,Delirious (Boneless) (feat. Kid Ink),63.0,"['Steve Aoki', 'Chris Lake', 'Tujamo', 'Kid Ink']",2014-09-29,0.706,0.912,-4.44,0.0,0.0565,0.0195,0.925,128.004
120774,5hD4JNBJ2vcM42x8hPxnvo,No Me Digas Que No,49.0,['La Makina'],1999,0.75,0.929,-2.05,1.0,0.0346,0.13699999999999998,0.951,132.56799999999998
120845,0kIOjfciEPbASzIl1SS3Mw,Jalam Khar,0.0,['Aka Odko'],2010-11-20,0.7559999999999999,0.938,-4.782,1.0,0.0662,0.0216,0.961,92.965
120861,1HRtVWNhS9tEvDQyOKD9Fs,Don't Stop 'Til You Get Enough - 2003 Edit,56.0,['Michael Jackson'],2003-11-18,0.872,0.946,-3.105,1.0,0.0656,0.0502,0.943,119.01
121040,4HbJLNbqtZI5AHKg12VtNr,Ölü,60.0,['Contra'],2012-08-30,0.835,0.937,-3.589,1.0,0.242,0.65,0.93,102.024
